x,y
206,-212
207,-205
207,-207
207,-204
207,-209
207,-213
207,-208
207,-202
207,-211
207,-203
207,-210
207,-212
207,-206
207,-200
208,-208
208,-200
208,-205
208,-201
208,-204
208,-207
208,-202
208,-198
208,-206
208,-203
208,-199
208,-197
209,-207
209,-196
209,-197
209,-200
209,-205
209,-195
209,-204
209,-194
209,-199
209,-193
209,-203
209,-202
209,-198
209,-201
209,-206
210,-199
210,-197
210,-198
210,-196
210,-201
210,-200
210,-191
210,-202
210,-193
210,-192
210,-195
210,-194
211,-192
211,-196
211,-191
211,-197
211,-194
211,-190
211,-195
211,-200
211,-193
211,-199
211,-198
212,-186
212,-191
212,-192
212,-187
212,-195
212,-190
212,-185
212,-183
212,-196
212,-194
212,-188
212,-193
212,-189
212,-184
212,-198
213,-183
213,-186
213,-185
213,-192
213,-193
213,-182
213,-175
213,-194
213,-188
213,-191
213,-180
213,-189
213,-181
213,-176
213,-190
213,-187
213,-184
214,-179
214,-189
214,-184
214,-188
214,-178
214,-183
214,-187
214,-191
214,-177
214,-185
214,-180
214,-182
214,-181
214,-186
214,-192
214,-193
215,-187
215,-184
215,-186
215,-185
215,-183
215,-188
215,-179
215,-178
215,-177
215,-174
215,-180
215,-182
215,-181
215,-173
215,-175
216,-179
216,-177
216,-180
216,-176
216,-181
216,-173
216,-175
216,-183
216,-171
216,-182
216,-178
216,-172
216,-185
216,-174
217,-173
217,-179
217,-172
217,-177
217,-170
217,-182
217,-180
217,-169
217,-174
217,-171
217,-175
217,-181
217,-176
217,-168
217,-178
217,-165
217,-167
217,-166
218,-164
218,-172
218,-171
218,-170
218,-176
218,-165
218,-168
218,-169
218,-175
218,-174
218,-179
218,-167
218,-173
218,-166
219,-160
219,-161
219,-164
219,-170
219,-166
219,-172
219,-174
219,-169
219,-171
219,-167
219,-173
219,-159
219,-165
219,-163
219,-168
219,-162
220,-160
220,-161
220,-152
220,-159
220,-162
220,-153
220,-163
220,-166
220,-167
220,-150
220,-165
220,-168
220,-169
220,-155
220,-164
220,-151
220,-158
221,-158
221,-153
221,-155
221,-159
221,-147
221,-157
221,-160
221,-154
221,-166
221,-152
221,-156
221,-167
221,-161
221,-162
221,-164
221,-151
221,-163
222,-151
222,-155
222,-147
222,-150
222,-157
222,-154
222,-148
222,-158
222,-156
222,-152
222,-146
222,-159
222,-162
222,-160
222,-153
222,-149
222,-145
222,-161
223,-156
223,-155
223,-147
223,-140
223,-151
223,-154
223,-157
223,-153
223,-142
223,-146
223,-152
223,-145
223,-141
223,-150
223,-148
223,-149
224,-146
224,-154
224,-153
224,-152
224,-134
224,-141
224,-147
224,-143
224,-140
224,-151
224,-150
224,-142
224,-145
224,-148
224,-149
224,-144
224,-135
224,-139
224,-138
225,-142
225,-143
225,-149
225,-137
225,-134
225,-140
225,-146
225,-136
225,-133
225,-145
225,-141
225,-144
225,-135
225,-148
225,-138
225,-139
225,-147
226,-135
226,-136
226,-134
226,-126
226,-140
226,-131
226,-132
226,-124
226,-142
226,-127
226,-139
226,-129
226,-144
226,-143
226,-138
226,-133
226,-130
226,-128
226,-137
227,-134
227,-124
227,-121
227,-133
227,-125
227,-131
227,-139
227,-122
227,-128
227,-136
227,-123
227,-126
227,-135
227,-127
227,-137
227,-132
227,-138
227,-130
227,-129
228,-131
228,-129
228,-135
228,-124
228,-120
228,-122
228,-125
228,-128
228,-132
228,-117
228,-119
228,-127
228,-126
228,-118
228,-123
228,-130
228,-121
229,-123
229,-121
229,-130
229,-122
229,-131
229,-116
229,-115
229,-129
229,-128
229,-114
229,-117
229,-127
229,-118
229,-126
229,-119
229,-113
229,-124
229,-125
229,-120
230,-121
230,-120
230,-108
230,-122
230,-116
230,-110
230,-114
230,-111
230,-119
230,-115
230,-124
230,-123
230,-113
230,-109
230,-106
230,-118
230,-112
230,-125
230,-117
231,-107
231,-96
231,-103
231,-106
231,-122
231,-113
231,-111
231,-119
231,-112
231,-109
231,-108
231,-118
231,-117
231,-110
231,-115
231,-116
231,-114
232,-100
232,-105
232,-111
232,-104
232,-96
232,-103
232,-114
232,-102
232,-99
232,-95
232,-110
232,-113
232,-101
232,-117
232,-116
232,-112
232,-115
232,-107
232,-106
232,-108
232,-109
233,-101
233,-102
233,-90
233,-100
233,-107
233,-98
233,-103
233,-94
233,-99
233,-87
233,-88
233,-104
233,-111
233,-95
233,-108
233,-92
233,-97
233,-106
233,-105
233,-96
233,-110
233,-91
233,-89
233,-93
234,-89
234,-95
234,-82
234,-94
234,-99
234,-85
234,-90
234,-100
234,-87
234,-92
234,-102
234,-96
234,-84
234,-103
234,-93
234,-105
234,-81
234,-86
234,-88
234,-104
234,-91
234,-97
234,-98
234,-83
235,-89
235,-96
235,-79
235,-86
235,-85
235,-81
235,-84
235,-95
235,-88
235,-99
235,-98
235,-97
235,-92
235,-93
235,-82
235,-77
235,-78
235,-90
235,-83
235,-80
235,-87
235,-91
236,-85
236,-76
236,-95
236,-82
236,-74
236,-78
236,-79
236,-84
236,-87
236,-91
236,-75
236,-88
236,-73
236,-83
236,-81
236,-86
236,-77
236,-90
236,-92
236,-80
236,-89
237,-73
237,-87
237,-68
237,-78
237,-83
237,-79
237,-72
237,-85
237,-82
237,-80
237,-71
237,-84
237,-88
237,-76
237,-70
237,-77
237,-86
237,-81
237,-67
237,-69
237,-75
237,-66
237,-74
238,-62
238,-83
238,-67
238,-81
238,-65
238,-68
238,-80
238,-64
238,-69
238,-79
238,-63
238,-78
238,-70
238,-66
238,-77
238,-82
238,-71
238,-61
238,-74
238,-60
238,-76
238,-72
238,-73
238,-75
239,-62
239,-57
239,-65
239,-64
239,-55
239,-61
239,-59
239,-63
239,-60
239,-58
239,-54
239,-56
239,-53
239,-66
239,-77
239,-70
239,-76
239,-69
239,-72
239,-75
239,-67
239,-73
239,-68
239,-71
240,-58
240,-71
240,-72
240,-59
240,-57
240,-61
240,-70
240,-62
240,-69
240,-63
240,-68
240,-64
240,-67
240,-56
240,-65
240,-60
240,-66
240,-50
240,-53
240,-51
240,-55
240,-52
240,-47
240,-43
240,-54
240,-48
240,-49
241,-51
241,-43
241,-47
241,-65
241,-46
241,-40
241,-58
241,-50
241,-61
241,-54
241,-45
241,-60
241,-41
241,-66
241,-52
241,-59
241,-69
241,-44
241,-48
241,-42
